"auto_id","log_identifer","log_date","log_details"
"32978","바멍","2023-05-02 19:28:57","JANGSU GOTCHA USE 15000 / REMAIN 28355821"
"32979","바멍","2023-05-02 19:28:59","JANGSU GOTCHA USE 15000 / REMAIN 28340821"
"32980","바멍","2023-05-02 19:29:00","JANGSU GOTCHA USE 15000 / REMAIN 28325821"
"32981","바멍","2023-05-02 19:29:01","JANGSU GOTCHA USE 15000 / REMAIN 28310821"
"32982","바멍","2023-05-02 19:29:03","JANGSU GOTCHA USE 15000 / REMAIN 28295821"
"32983","바멍","2023-05-02 19:29:04","JANGSU GOTCHA USE 15000 / REMAIN 28280821"
"32984","바멍","2023-05-02 19:29:05","JANGSU GOTCHA USE 15000 / REMAIN 28265821"
"32985","바멍","2023-05-02 19:29:07","JANGSU GOTCHA USE 15000 / REMAIN 28250821"
"32986","바멍","2023-05-02 19:29:08","JANGSU GOTCHA USE 15000 / REMAIN 28235821"
"32987","바멍","2023-05-02 19:29:34","SUPPORT GOTCHA USE 15000 / REMAIN 28220821"
"32988","바멍","2023-05-02 19:29:36","SUPPORT GOTCHA USE 15000 / REMAIN 28205821"
"32989","바멍","2023-05-02 19:29:38","SUPPORT GOTCHA USE 15000 / REMAIN 28190821"
"32990","바멍","2023-05-02 19:29:39","SUPPORT GOTCHA USE 15000 / REMAIN 28175821"
"32991","바멍","2023-05-02 19:29:40","SUPPORT GOTCHA USE 15000 / REMAIN 28160821"
"32992","바멍","2023-05-02 19:29:41","SUPPORT GOTCHA USE 15000 / REMAIN 28145821"
"32993","바멍","2023-05-02 19:29:43","SUPPORT GOTCHA USE 15000 / REMAIN 28130821"
"32994","바멍","2023-05-02 19:29:44","SUPPORT GOTCHA USE 15000 / REMAIN 28115821"
"32995","바멍","2023-05-02 19:29:45","SUPPORT GOTCHA USE 15000 / REMAIN 28100821"
"32996","바멍","2023-05-02 19:29:47","SUPPORT GOTCHA USE 15000 / REMAIN 28085821"
"32997","바멍","2023-05-02 19:29:48","SUPPORT GOTCHA USE 15000 / REMAIN 28070821"
"32998","바멍","2023-05-02 19:29:49","SUPPORT GOTCHA USE 15000 / REMAIN 28055821"
"32999","바멍","2023-05-02 19:29:50","SUPPORT GOTCHA USE 15000 / REMAIN 28040821"
"33000","바멍","2023-05-02 19:29:52","SUPPORT GOTCHA USE 15000 / REMAIN 28025821"
"33001","바멍","2023-05-02 19:29:53","SUPPORT GOTCHA USE 15000 / REMAIN 28010821"
"33002","바멍","2023-05-02 19:29:54","SUPPORT GOTCHA USE 15000 / REMAIN 27995821"
"33003","바멍","2023-05-02 19:29:56","SUPPORT GOTCHA USE 15000 / REMAIN 27980821"
"33004","바멍","2023-05-02 19:29:57","SUPPORT GOTCHA USE 15000 / REMAIN 27965821"
"33005","바멍","2023-05-02 19:29:58","SUPPORT GOTCHA USE 15000 / REMAIN 27950821"
"33006","바멍","2023-05-02 19:29:59","SUPPORT GOTCHA USE 15000 / REMAIN 27935821"
"33007","바멍","2023-05-02 19:30:01","SUPPORT GOTCHA USE 15000 / REMAIN 27920821"
"33008","바멍","2023-05-02 19:30:02","SUPPORT GOTCHA USE 15000 / REMAIN 27905821"
"33009","바멍","2023-05-02 19:30:03","SUPPORT GOTCHA USE 15000 / REMAIN 27890821"
"33010","바멍","2023-05-02 19:30:05","SUPPORT GOTCHA USE 15000 / REMAIN 27875821"
"33011","바멍","2023-05-02 19:30:06","SUPPORT GOTCHA USE 15000 / REMAIN 27860821"
"33012","바멍","2023-05-02 19:30:07","SUPPORT GOTCHA USE 15000 / REMAIN 27845821"
"33013","바멍","2023-05-02 19:30:09","SUPPORT GOTCHA USE 15000 / REMAIN 27830821"
